オッズパーク いちいちIDとかを入れないと入れない前のアプリの方が使い勝手が良かった。
なかなか当たらない 当たっても安い
UIがなぁ "使い方を覚えなければ使いにくいです。
直感的に使える方がいいですね。
投票後に残高が表示される方が便利ですし、
出走表と予想情報はもっと素早く引き出せる方がいい。
もっと改善していった方がいいです。
ネット投票ではオッズパークをメインで使っていますので、期待してます。"
通信量要りすぎ すぐにギガ無くなる
暇つぶしにはいい。 "無欲で大して強さ求めて無く自分の回せる場所をマラソン出来る人なら楽しいかも。
初心者の無課金者だと後半のストーリーで詰む。
これ初心者クリアさせる気ある？って思う程鬼畜なイベ多数有り。
100連ガチャ回しても強キャラほぼ出ない。
強キャラ1体貰えますで貰ってもそのキャラ頼りになり属性で勝てないと詰む。
レア度高いキャラ沢山いるハズなのに不思議な程ガチャで排出され無い。
他のゲームで同じ期間遊んでいるゲームの方がレア度高いキャラ半分以上排出されている。
イベもこのゲーム内キャラの夏イベとか作ればいいのにと思う。
全体的に広告費に出資し過ぎてゲーム内が微妙な感じがします。"
2年程やってみて "ギミックなどは良くなっているし、単純操作だけでなく、タイミングが重要というのもゲーム性の奥深さが感じられる。
しかし、肝心のガチャがゴミすぎる。有償石を使えば確実に最高レアは出るものの、ピックアップは全くと言っていいほど出ない。
ピックアップ以外も使えるのならばまだ良い。しかしこのゲームにはそれが無い。新キャラが出る度に加速するインフレ、力を入れているキャラやストーリーと、それ以外に対する圧倒的格差、高難易度になれば現段階で入手困難なキャラしか使えない始末。これらが目立ちすぎている。しかも、ガチャに関してはかなり前から言われているものの、一向に改善されない。
総合すると、ストレスがかからない程度に楽しむのが良い。今から始める人はご参考を。"
改善お願いします "ガチャの排出率が以上に低いです
3ヶ月くらい引いても新ユニットが出ないです
恐らく100回くらい引いたと思います
未だに新ユニットの排出がされません
もちろん天井のあるガチャを引いています
課金をしても排出されなかった
仕様？"
つまらない ガチャの確率がショボすぎ
No Stop
すごい！ "ガチャ
激レアばっかり出る！！！"
たいおうが "素晴らしいゲームです！
ユーザーのこと考えてくれてます。

10連は1個確定にして欲しい。
やっぱりガチャが渋い。"
ダメだな おんなじ事の繰り返しなだけで何にもない
グラサマガチャ すいません、本当にこれ見てますか？ピックアップやコラボキャラが当たりにくい！ガチャ確率が悪いのが残念です！って前からずーっと言ってます！！本当にどうにか確率もう少しだけでも上げてください！レビュー書いても見てないでしょ？？
ん〜 "チュートリアルスキップ機能付けてほしい
あとガチャは酷いかも…"
ガチャは課金、覚醒は… "課金しなきゃほぼ出ない、覚醒素材は運。
今ゴールデンカムイコラボ来てるけどキャラは出ない。100連して。
まずキャラ集めをしなきゃ覚醒無理。
ストーリー、イベント等は使い回し感があるけどやり込み周回が好きな人は〇
マジ周回とか意味不と考えてる人は✖"
だめ ここで星5入れてる奴のレビュー見れば理解できるでしょ！何が楽しいとかもなくただ楽しい…面白い！ばっかり……なっ！サクラ臭しかしないやろ？低評価の人はちゃんと何がダメなのか書いてくれてる……そう言う事ですよ。
グラサマ 普通、
排出率下がったのかな "体感だけど新年になってからガチャ排出率が悪くなったのかな、そこが残念。
イベントが楽しいのは違わない。
無課金でも長くやればユニット揃うからそこは良いかな。
今年欲しいキャラが出なくとも来年が、それでも駄目なら再来年が、諦めなければ全て揃うと信じている（銀の運命とコラボしないかなぁ...）"
ドット絵はいい ただただ、ガチャが渋すぎる
ガチャはどうでもいい "が、クエが理不尽過ぎてせっかくのキャラも進化やら覚醒やらが出来ない。
理不尽なボスが多過ぎて肝心のメインストーリーすら進まない。この先どうなるのか、今までのストーリーとかも忘れるくらいに進まなくてがっかり。でも、ゲーム性とかもういいから、ストーリーだけ教えて下さい。プレイしなくても観れる様に。お話だけなら面白いかもしれないし、観れるなら300円位は課金します。"
検索が死んで居る。 なかなか検索出来ず、大変不便でした！
安心安全のうたい文句はウソ！ 作家さんがとても大切に作ったものを郵送トラブルがあると、全く関与しない。コメントを寄せても知りません。双方で話して作家に文句を言えと。。何が、安心安全なんだか。騙されないように。
ログインできない "アプリでFBアカウントを利用したログインができない。
ブラウザ版でメアド変更を試みるも、そもそもメアド変更にメアド+パスワードベースのログインが必要なのでメアド変更もできない。
FBアカウントのログインがこんなに不便なら最初からFB利用のアカウント登録ができないほうがいいです。
改善していただきたいです。"
不具合 販売設定の購入オプションが選択後保存されません
評価 発送完了や、受け取り評価の案内が無いので出品者から催促されました。。
お気に入り機能が "お気に入りがフォルダ分けできなくて、使いにくい…
